frame_index,review_priority,automatic_statuses,subject_id_correct,pose_assignment_correct,anomaly_handling_correct,reviewer_decision,note
0,known_edge_case,unmatched_pose,not_applicable,not_applicable,yes,pass,OpenPose检测到骨架，但DeepSORT尚无轨迹；保持unmatched_pose，未绑定P001/P002/P003
1,known_edge_case,unmatched_pose,not_applicable,not_applicable,yes,pass,OpenPose检测到骨架，但DeepSORT尚无轨迹；保持unmatched_pose，未绑定P001/P002/P003
2,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
3,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
4,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
5,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
6,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
7,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
8,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
9,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
10,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
11,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
12,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
13,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
14,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
15,manual_observation,matched,yes,yes,not_applicable,pass,P001身份及骨架归属正确，但观察者视角右侧持杯手臂的关键点未完全贴合真实手臂，属于OpenPose关键点定位误差
16,manual_observation,matched,yes,yes,not_applicable,pass,P001身份及骨架归属正确，但观察者视角右侧持杯手臂的关键点未完全贴合真实手臂，属于OpenPose关键点定位误差
17,manual_observation,matched,yes,yes,not_applicable,pass,P001身份及骨架归属正确，但观察者视角右侧持杯手臂的关键点未完全贴合真实手臂，属于OpenPose关键点定位误差
18,manual_observation,matched,yes,yes,not_applicable,pass,P001身份及骨架归属正确，但观察者视角右侧持杯手臂的关键点未完全贴合真实手臂，属于OpenPose关键点定位误差
19,manual_observation,matched,yes,yes,not_applicable,pass,P001身份及骨架归属正确，但观察者视角右侧持杯手臂的关键点未完全贴合真实手臂，属于OpenPose关键点定位误差
20,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
21,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
22,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
23,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
24,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
25,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
26,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
27,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
28,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
29,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
30,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
31,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
32,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
33,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
